Area,Element,Year,Unit,Value
World,Agricultural Use,2000,tonnes,80727903.77
World,Agricultural Use,2001,tonnes,81672156.57
World,Agricultural Use,2002,tonnes,84265064.77
World,Agricultural Use,2003,tonnes,86890455.87
World,Agricultural Use,2004,tonnes,89336446.22
World,Agricultural Use,2005,tonnes,89939123.07
World,Agricultural Use,2006,tonnes,92710330.12
World,Agricultural Use,2007,tonnes,96019879.21
World,Agricultural Use,2008,tonnes,94555251.22
World,Agricultural Use,2009,tonnes,96970589.49
World,Agricultural Use,2010,tonnes,101046483.5
World,Agricultural Use,2011,tonnes,104435699.4
World,Agricultural Use,2012,tonnes,104763887.3
World,Agricultural Use,2013,tonnes,106561586.8
World,Agricultural Use,2014,tonnes,106929561.7
World,Agricultural Use,2015,tonnes,105970583.5
World,Agricultural Use,2016,tonnes,107110737.2
World,Agricultural Use,2017,tonnes,109172161.2
World,Agricultural Use,2018,tonnes,107733678.6
World,Agricultural Use,2019,tonnes,107735777.9
Asia,Agricultural Use,2000,tonnes,46466885
Asia,Agricultural Use,2001,tonnes,46809696
Asia,Agricultural Use,2002,tonnes,49296520.57
Asia,Agricultural Use,2003,tonnes,50390920.05
Asia,Agricultural Use,2004,tonnes,52640874.31
Asia,Agricultural Use,2005,tonnes,54211486.75
Asia,Agricultural Use,2006,tonnes,56145235.93
Asia,Agricultural Use,2007,tonnes,57504402.51
Asia,Agricultural Use,2008,tonnes,58208581.37
Asia,Agricultural Use,2009,tonnes,61125870.12
Asia,Agricultural Use,2010,tonnes,62069598.34
Asia,Agricultural Use,2011,tonnes,63191327.58
Asia,Agricultural Use,2012,tonnes,63163855.93
Asia,Agricultural Use,2013,tonnes,63904715.07
Asia,Agricultural Use,2014,tonnes,64349668.93
Asia,Agricultural Use,2015,tonnes,64351413.28
Asia,Agricultural Use,2016,tonnes,63992302.42
Asia,Agricultural Use,2017,tonnes,64020000.13
Asia,Agricultural Use,2018,tonnes,62961205.39
Asia,Agricultural Use,2019,tonnes,62584499
Europe,Agricultural Use,2000,tonnes,13213454
Europe,Agricultural Use,2001,tonnes,13503149
Europe,Agricultural Use,2002,tonnes,13333422.98
Europe,Agricultural Use,2003,tonnes,13535715.31
Europe,Agricultural Use,2004,tonnes,13365632.29
Europe,Agricultural Use,2005,tonnes,13050459.41
Europe,Agricultural Use,2006,tonnes,13037515.9
Europe,Agricultural Use,2007,tonnes,13966891.6
Europe,Agricultural Use,2008,tonnes,13470967.01
Europe,Agricultural Use,2009,tonnes,12833390.39
Europe,Agricultural Use,2010,tonnes,13559312.79
Europe,Agricultural Use,2011,tonnes,13792279.8
Europe,Agricultural Use,2012,tonnes,13943027.41
Europe,Agricultural Use,2013,tonnes,14310449.81
Europe,Agricultural Use,2014,tonnes,14389640.14
Europe,Agricultural Use,2015,tonnes,14625166.98
Europe,Agricultural Use,2016,tonnes,14906334.22
Europe,Agricultural Use,2017,tonnes,15273035.74
Europe,Agricultural Use,2018,tonnes,14896397.19
Europe,Agricultural Use,2019,tonnes,15077576.75
