Domain,Area,Year,Item,Months,Unit,Value
"Consumer Price Indices","Bangladesh","2021","Food price inflation","January","%","5.231415"
"Consumer Price Indices","Bangladesh","2021","Food price inflation","February","%","5.422392"
"Consumer Price Indices","Bangladesh","2021","Food price inflation","March","%","5.513068"
"Consumer Price Indices","Bangladesh","2021","Food price inflation","April","%","5.567092"
"Consumer Price Indices","Bangladesh","2021","Food price inflation","May","%","4.872824"
"Consumer Price Indices","Bangladesh","2021","Food price inflation","June","%","5.453935"
"Consumer Price Indices","Bangladesh","2021","Food price inflation","July","%","5.077307"
"Consumer Price Indices","Bangladesh","2021","Food price inflation","August","%","5.15625"
"Consumer Price Indices","Bangladesh","2021","Food price inflation","September","%","5.210212"
"Consumer Price Indices","India","2021","Food price inflation","January","%","2.67101"
"Consumer Price Indices","India","2021","Food price inflation","February","%","4.252492"
"Consumer Price Indices","India","2021","Food price inflation","March","%","5.238415"
"Consumer Price Indices","India","2021","Food price inflation","April","%","2.597403"
"Consumer Price Indices","India","2021","Food price inflation","May","%","5.239031"
"Consumer Price Indices","India","2021","Food price inflation","June","%","5.584416"
"Consumer Price Indices","India","2021","Food price inflation","July","%","4.458599"
"Consumer Price Indices","India","2021","Food price inflation","August","%","3.734177"
"Consumer Price Indices","India","2021","Food price inflation","September","%","1.610905"
"Consumer Price Indices","Pakistan","2021","Food price inflation","January","%","6.679107"
"Consumer Price Indices","Pakistan","2021","Food price inflation","February","%","9.740263"
"Consumer Price Indices","Pakistan","2021","Food price inflation","March","%","11.580484"
"Consumer Price Indices","Pakistan","2021","Food price inflation","April","%","15.914037"
"Consumer Price Indices","Pakistan","2021","Food price inflation","May","%","14.827254"
"Consumer Price Indices","Pakistan","2021","Food price inflation","June","%","10.475956"
"Consumer Price Indices","Pakistan","2021","Food price inflation","July","%","8.233434"
"Consumer Price Indices","Pakistan","2021","Food price inflation","August","%","9.963327"
"Consumer Price Indices","Pakistan","2021","Food price inflation","September","%","10.210293"
